date,1. open,2. high,3. low,4. close,5. volume
2021-05-07,1.1515,1.154,1.1506,1.1519,0.0
2021-05-06,1.158,1.1588,1.1492,1.1508,0.0
2021-05-05,1.1557,1.1595,1.1554,1.1578,0.0
2021-05-04,1.1528,1.1566,1.1504,1.1556,0.0
2021-05-03,1.1484,1.154,1.1478,1.1528,0.0
2021-04-30,1.1499,1.1517,1.147,1.1491,0.0
2021-04-29,1.1492,1.1527,1.1488,1.1496,0.0
2021-04-28,1.1497,1.1513,1.1481,1.1493,0.0
2021-04-27,1.1494,1.1528,1.1488,1.15,0.0
2021-04-26,1.1468,1.1517,1.1464,1.1496,0.0
2021-04-23,1.1513,1.153,1.1466,1.1468,0.0
2021-04-22,1.157,1.1581,1.1487,1.1511,0.0
2021-04-21,1.1576,1.1609,1.1565,1.157,0.0
2021-04-20,1.1615,1.1623,1.1567,1.1576,0.0
2021-04-19,1.1547,1.1641,1.153,1.1614,0.0
2021-04-16,1.1515,1.1553,1.1465,1.1538,0.0
2021-04-15,1.1497,1.1533,1.1493,1.1515,0.0
2021-04-14,1.1507,1.1534,1.1492,1.1498,0.0
2021-04-13,1.1531,1.1573,1.1478,1.1508,0.0
2021-04-12,1.1513,1.1573,1.1496,1.1532,0.0
2021-04-09,1.1522,1.1564,1.1494,1.1513,0.0
2021-04-08,1.1568,1.1598,1.1515,1.1523,0.0
2021-04-07,1.164,1.1652,1.1539,1.1569,0.0
2021-04-06,1.1771,1.1784,1.1633,1.1641,0.0
2021-04-05,1.175,1.1802,1.1745,1.1772,0.0
2021-04-02,1.174,1.1761,1.1731,1.1753,0.0
2021-04-01,1.175,1.1774,1.1715,1.1742,0.0
2021-03-31,1.1721,1.176,1.1709,1.1751,0.0
2021-03-30,1.1695,1.1732,1.1685,1.172,0.0
2021-03-29,1.1689,1.1755,1.1674,1.1694,0.0
2021-03-26,1.1669,1.1716,1.1662,1.1686,0.0
2021-03-25,1.1584,1.1678,1.1568,1.1669,0.0
2021-03-24,1.16,1.1608,1.1561,1.1583,0.0
2021-03-23,1.161,1.1631,1.1563,1.1599,0.0
2021-03-22,1.1644,1.1658,1.1586,1.161,0.0
2021-03-19,1.1686,1.1715,1.1637,1.1647,0.0
2021-03-18,1.1651,1.1716,1.1644,1.1686,0.0
