date,1. open,2. high,3. low,4. close,5. volume
2016-03-21,17.92,17.92,17.92,17.92,0.0
2016-03-18,17.92,17.92,17.92,17.92,0.0
2016-03-17,17.92,17.92,17.92,17.92,0.0
2016-03-16,17.92,17.92,17.92,17.92,0.0
2016-03-15,17.92,17.92,17.92,17.92,0.0
2016-03-14,17.92,17.92,17.92,17.92,0.0
2016-03-11,17.74,17.92,17.74,17.92,15324.0
2016-03-10,17.6301,17.66,17.32,17.45,66310.0
2016-03-09,17.56,17.6,17.5,17.5399,79116.0
2016-03-08,17.51,17.6,17.49,17.49,6964.0
2016-03-07,17.6,17.65,17.5544,17.6,21018.0
2016-03-04,17.75,17.82,17.68,17.72,38528.0
2016-03-03,17.523,17.6,17.523,17.57,7774.0
2016-03-02,17.39,17.45,17.37,17.45,13496.0
2016-03-01,17.03,17.23,17.02,17.18,15173.0
2016-02-29,17.03,17.23,17.02,17.18,15173.0
2016-02-26,17.12,17.19,17.0,17.01,5523.0
2016-02-25,16.95,17.06,16.87,17.03,41707.0
2016-02-24,16.62,16.86,16.57,16.83,16569.0
2016-02-23,16.87,16.88,16.73,16.74,91190.0
2016-02-22,16.95,17.015,16.94,17.0,68320.0
2016-02-19,16.575,16.63,16.55,16.61,31305.0
2016-02-18,16.86,16.88,16.67,16.68,83983.0
2016-02-17,16.61,16.77,16.61,16.69,21665.0
2016-02-16,16.53,16.55,16.42,16.55,123094.0
2016-02-12,15.91,16.1799,15.87,16.1799,179296.0
2016-02-11,16.03,16.11,15.94,16.11,50995.0
2016-02-10,16.37,16.55,16.27,16.3,24479.0
2016-02-09,16.41,16.61,16.41,16.57,27080.0
2016-02-08,16.88,16.88,16.68,16.68,105537.0
2016-02-05,16.94,16.96,16.72,16.72,9802.0
2016-02-04,17.05,17.09,17.05,17.09,32842.0
2016-02-03,17.09,17.09,16.84,17.04,6193.0
2016-02-02,17.24,17.2402,17.1701,17.22,21703.0
2016-02-01,17.33,17.4101,17.27,17.4,16011.0
2016-01-29,17.18,17.4799,17.17,17.4503,17308.0
2016-01-28,17.08,17.0999,16.9648,17.0999,1590.0
2016-01-27,17.18,17.18,17.04,17.04,1997.0
2016-01-26,16.95,17.078,16.95,17.03,4142.0
2016-01-25,17.0172,17.0172,16.89,16.89,685.0
2016-01-22,17.0144,17.205,16.98,17.205,13455.0
2016-01-21,16.3,16.6099,16.3,16.5081,9907.0
2016-01-20,16.58,16.63,16.25,16.56,28706.0
2016-01-19,17.29,17.29,17.1494,17.18,18618.0
2016-01-14,17.02,17.08,16.892,16.96,19652.0
2016-01-13,17.7,17.7,17.33,17.35,7142.0
2016-01-12,17.56,17.56,17.3831,17.5322,4576.0
2016-01-11,17.63,17.63,17.4046,17.51,2954.0
2016-01-08,17.635,17.6468,17.39,17.4199,19703.0
2016-01-07,17.73,17.87,17.67,17.71,8502.0
2016-01-06,18.0,18.04,17.97,18.03,2765.0
2016-01-05,18.3,18.3114,18.24,18.3114,32551.0
2016-01-04,18.13,18.13,17.83,18.1213,39588.0
2015-12-30,18.59,18.5919,18.48,18.48,11057.0
2015-12-29,18.74,18.74,18.66,18.6613,30235.0
2015-12-28,18.7728,18.858,18.7728,18.83,28581.0
2015-12-24,18.6679,18.6679,18.6679,18.6679,0.0
2015-12-23,18.6201,18.68,18.6201,18.6679,25411.0
2015-12-22,18.805,18.8053,18.78,18.79,48988.0
2015-12-21,18.5,18.62,18.4578,18.61,344814.0
2015-12-18,18.5645,18.57,18.45,18.51,14053.0
2015-12-17,18.52,18.5252,18.4524,18.4524,27047.0
2015-12-16,18.8928,18.8928,18.72,18.72,9351.0
2015-12-15,18.73,18.89,18.715,18.8614,31663.0
2015-12-14,18.548,18.548,18.44,18.44,22360.0
2015-12-11,18.54,18.54,18.36,18.54,74077.0
2015-12-10,18.47,18.49,18.37,18.41,37572.0
2015-12-09,18.74,18.756,18.66,18.66,97041.0
2015-12-08,18.73,18.77,18.53,18.6085,30335.0
2015-12-07,18.7001,18.8,18.68,18.8,3777.0
2015-12-04,19.0,19.0498,18.97,19.039,35420.0
2015-12-03,18.8638,19.1,18.84,19.1,16485.0
2015-12-02,19.19,19.19,18.9499,18.97,12310.0
2015-12-01,19.33,19.33,19.1777,19.1777,5503.0
2015-11-30,19.375,19.4,19.3538,19.4,15261.0
2015-11-27,19.2,19.2,19.11,19.1481,21694.0
2015-11-25,19.3247,19.3247,19.3247,19.3247,0.0
2015-11-24,19.3194,19.3247,19.3194,19.3247,350.0
2015-11-23,19.2999,19.37,19.21,19.36,6791.0
2015-11-20,19.26,19.31,19.213,19.27,9922.0
2015-11-19,19.31,19.342,19.3,19.33,19302.0
2015-11-18,19.278,19.278,19.245,19.2599,4424.0
2015-11-17,19.1299,19.25,19.081,19.25,11916.0
2015-11-16,19.06,19.1899,19.06,19.12,17885.0
2015-11-13,18.92,19.02,18.916,19.01,10050.0
2015-11-12,18.89,18.94,18.8899,18.94,873.0
2015-11-11,18.9401,18.9944,18.9401,18.9444,4363.0
2015-11-10,19.1,19.14,19.1,19.1,3470.0
2015-11-09,18.96,19.028,18.96,19.028,16131.0
2015-11-06,18.91,18.91,18.74,18.79,93466.0
2015-11-05,18.82,18.85,18.79,18.8254,71207.0
2015-11-04,18.87,18.87,18.79,18.815,20837.0
2015-11-03,18.75,18.75,18.68,18.69,61986.0
2015-11-02,18.69,18.8028,18.69,18.78,4699.0
2015-10-30,18.59,18.7593,18.59,18.7593,20918.0
2015-10-29,18.72,18.73,18.62,18.62,25713.0
2015-10-28,18.63,18.65,18.62,18.6499,21344.0
2015-10-27,18.74,18.832,18.66,18.832,73295.0
2015-10-26,18.6,18.64,18.58,18.63,52293.0
2015-10-23,18.7,18.74,18.69,18.7399,44372.0
2015-10-22,18.71,18.84,18.7,18.84,43013.0
2015-10-21,18.44,18.64,18.44,18.5865,21809.0
2015-10-20,18.45,18.4599,18.35,18.35,54107.0
2015-10-19,18.12,18.16,18.1,18.13,53864.0
2015-10-16,18.12,18.23,18.12,18.23,59792.0
2015-10-15,18.29,18.33,18.25,18.33,37347.0
2015-10-14,18.12,18.2801,18.12,18.26,33582.0
2015-10-13,17.88,17.9411,17.78,17.78,80067.0
2015-10-12,18.0699,18.1,18.006,18.03,140871.0
2015-10-09,18.2,18.2,18.16,18.1999,10106.0
2015-10-08,18.15,18.2,18.15,18.1899,16868.0
2015-10-07,18.02,18.16,17.97,18.16,31555.0
2015-10-06,18.22,18.278,18.13,18.2,15834.0
2015-10-05,18.06,18.1,17.99,18.05,23598.0
2015-10-02,18.06,18.2,18.06,18.18,8505.0
2015-10-01,17.34,17.74,17.32,17.74,87665.0
2015-09-30,17.49,17.53,17.39,17.515,11415.0
2015-09-29,17.29,17.425,17.1864,17.42,41665.0
2015-09-28,17.07,17.15,17.02,17.09,157473.0
2015-09-25,17.43,17.43,17.23,17.25,30374.0
2015-09-24,17.74,17.74,17.5,17.58,80984.0
2015-09-23,17.21,17.34,17.1,17.33,49482.0
2015-09-22,17.42,17.44,17.33,17.42,25867.0
2015-09-21,17.42,17.43,17.36,17.43,3332.0
2015-09-18,17.7,17.75,17.64,17.72,6888.0
2015-09-17,17.67,17.76,17.56,17.59,43094.0
2015-09-16,18.0699,18.28,18.02,18.08,203715.0
2015-09-15,17.98,18.14,17.98,18.1399,39062.0
2015-09-14,17.78,17.97,17.76,17.94,24267.0
2015-09-11,17.71,17.73,17.67,17.73,32119.0
2015-09-10,17.74,17.84,17.68,17.84,39201.0
2015-09-09,17.85,17.91,17.81,17.85,86523.0
2015-09-08,18.28,18.28,17.87,17.88,141550.0
2015-09-04,17.48,17.48,17.48,17.48,0.0
2015-09-03,17.52,17.6099,17.449,17.48,22013.0
2015-09-02,18.04,18.11,18.0,18.01,38392.0
2015-09-01,17.98,17.99,17.85,17.98,33400.0
2015-08-31,17.64,17.74,17.5601,17.59,36560.0
2015-08-28,18.45,18.49,18.36,18.41,20383.0
2015-08-27,18.65,18.7099,18.638,18.7099,12779.0
2015-08-26,18.48,18.63,18.46,18.6,90282.0
2015-08-25,18.22,18.53,18.05,18.53,70180.0
2015-08-24,18.36,18.36,17.66,17.66,119324.0
2015-08-21,17.55,18.15,17.31,17.87,300156.0
2015-08-20,18.73,18.76,18.32,18.35,53744.0
2015-08-19,19.01,19.0653,18.75,18.85,37346.0
2015-08-18,19.32,19.32,19.23,19.28,86069.0
2015-08-17,19.512,19.53,19.4796,19.5,2558.0
2015-08-14,19.58,19.69,19.58,19.67,53417.0
2015-08-13,19.57,19.66,19.57,19.62,16344.0
2015-08-12,19.56,19.64,19.54,19.61,35565.0
2015-08-11,19.3,19.45,19.19,19.44,57974.0
2015-08-10,19.51,19.56,19.5,19.56,31251.0
2015-08-07,19.81,19.89,19.81,19.89,35156.0
2015-08-06,19.64,19.69,19.625,19.68,17293.0
2015-08-05,19.61,19.6132,19.56,19.5698,23948.0
2015-08-04,19.72,19.76,19.7101,19.7198,15666.0
2015-08-03,19.55,19.5732,19.55,19.57,5102.0
2015-07-31,19.59,19.6299,19.53,19.59,20324.0
2015-07-30,19.71,19.72,19.62,19.64,31675.0
2015-07-29,19.52,19.61,19.52,19.6,22012.0
2015-07-28,19.45,19.5999,19.45,19.57,83019.0
2015-07-27,19.4591,19.54,19.4,19.5,52000.0
2015-07-24,19.32,19.41,19.32,19.33,31807.0
2015-07-23,19.69,19.69,19.48,19.49,9721.0
2015-07-22,19.74,19.75,19.662,19.69,12220.0
2015-07-21,19.66,19.7361,19.66,19.7,14884.0
2015-07-20,19.74,19.81,19.72,19.78,167024.0
2015-07-17,19.77,19.86,19.77,19.8,12969.0
2015-07-16,19.77,19.8,19.77,19.77,17611.0
2015-07-15,19.75,19.78,19.73,19.73,30249.0
2015-07-14,19.71,19.72,19.62,19.67,282302.0
2015-07-13,19.54,19.73,19.54,19.7299,17723.0
2015-07-10,19.54,19.5999,19.5201,19.58,60776.0
2015-07-09,19.38,19.42,19.32,19.4199,58922.0
2015-07-08,19.34,19.39,19.17,19.25,94531.0
2015-07-07,19.2,19.24,18.91,18.95,113341.0
2015-07-06,19.6299,19.75,19.4901,19.72,37645.0
2015-07-02,19.74,19.74,19.74,19.74,0.0
2015-07-01,19.76,19.76,19.686,19.74,25922.0
2015-06-30,19.81,19.818,19.72,19.75,32758.0
2015-06-29,19.7,19.7,19.55,19.55,63342.0
2015-06-26,19.6,19.6,19.3901,19.43,144995.0
2015-06-25,19.92,19.97,19.91,19.97,18055.0
2015-06-24,19.85,19.96,19.85,19.87,63271.0
2015-06-23,19.82,19.87,19.82,19.83,132654.0
2015-06-22,19.94,20.05,19.94,20.03,28255.0
2015-06-19,19.81,19.865,19.77,19.78,26037.0
2015-06-18,19.5,19.52,19.5,19.5,105197.0
2015-06-17,19.42,19.495,19.4,19.44,90618.0
2015-06-16,19.42,19.47,19.26,19.43,126242.0
2015-06-15,19.47,19.56,19.46,19.56,23295.0
2015-06-12,19.52,19.63,19.52,19.63,44212.0
2015-06-11,19.58,19.58,19.52,19.56,62131.0
2015-06-10,19.69,19.73,19.65,19.66,110532.0
2015-06-09,19.49,19.59,19.49,19.54,45440.0
2015-06-08,19.25,19.26,19.18,19.19,225701.0
2015-06-05,19.38,19.395,19.34,19.395,30517.0
2015-06-04,19.42,19.52,19.41,19.46,37561.0
2015-06-03,19.54,19.56,19.4802,19.51,42073.0
