DATE,DEXJPUS
2021-07-23,110.52
2021-07-22,110.1
2021-07-21,110.22
2021-07-20,109.92
2021-07-19,109.45
2021-07-16,110.13
2021-07-15,110.05
2021-07-14,110.03
2021-07-13,110.36
2021-07-12,110.36
2021-07-09,110.18
2021-07-08,109.82
2021-07-07,110.62
2021-07-06,110.66
2021-07-02,111.28
2021-07-01,111.56
2021-06-30,111.05
2021-06-29,110.53
2021-06-28,110.5
2021-06-25,110.78
2021-06-24,110.91
2021-06-23,110.86
2021-06-22,110.75
2021-06-21,110.22
2021-06-18,110.21
2021-06-17,110.28
2021-06-16,109.88
2021-06-15,110.12
2021-06-14,109.98
2021-06-11,109.75
2021-06-10,109.49
2021-06-09,109.61
2021-06-08,109.47
2021-06-07,109.25
2021-06-04,109.42
2021-06-03,110.28
2021-06-02,109.59
2021-06-01,109.43
2021-05-28,109.83
2021-05-27,109.81
2021-05-26,109.1
2021-05-25,108.95
2021-05-24,108.81
2021-05-21,108.94
2021-05-20,108.79
2021-05-19,108.76
2021-05-18,109.01
2021-05-17,109.17
2021-05-14,109.37
2021-05-13,109.56
2021-05-12,109.53
2021-05-11,108.53
2021-05-10,108.7
2021-05-07,108.52
2021-05-06,109.17
2021-05-05,109.27
2021-05-04,109.34
2021-05-03,109.08
2021-04-30,109.33
2021-04-29,108.94
2021-04-28,108.81
2021-04-27,108.56
2021-04-26,108.12
2021-04-23,107.94
2021-04-22,108.17
2021-04-21,108.09
2021-04-20,108.07
2021-04-19,108.09
2021-04-16,108.78
2021-04-15,108.78
2021-04-14,108.93
2021-04-13,109.19
2021-04-12,109.43
2021-04-09,109.64
2021-04-08,109.25
2021-04-07,109.67
2021-04-06,109.83
2021-04-05,110.08
2021-04-02,110.67
2021-04-01,110.61
2021-03-31,110.61
2021-03-30,110.19
2021-03-29,109.73
2021-03-26,109.55
2021-03-25,109.13
2021-03-24,108.81
2021-03-23,108.61
2021-03-22,108.67
2021-03-19,108.85
2021-03-18,108.97
2021-03-17,109.22
2021-03-16,109.01
2021-03-15,109.11
2021-03-12,108.87
2021-03-11,108.44
2021-03-10,108.58
2021-03-09,108.64
2021-03-08,108.92
2021-03-05,108.24
2021-03-04,107.58
2021-03-03,106.92
2021-03-02,106.75
2021-03-01,106.68
2021-02-26,106.64
2021-02-25,106.22
2021-02-24,105.91
2021-02-23,105.21
2021-02-22,105.06
2021-02-19,105.58
2021-02-18,105.69
2021-02-17,105.83
2021-02-16,105.88
2021-02-12,104.94
2021-02-11,104.75
2021-02-10,104.67
2021-02-09,104.62
2021-02-08,105.19
2021-02-05,105.44
2021-02-04,105.43
2021-02-03,105.05
2021-02-02,105.09
2021-02-01,104.97
2021-01-29,104.64
2021-01-28,104.31
2021-01-27,104.09
2021-01-26,103.69
2021-01-25,103.78
2021-01-22,103.76
2021-01-21,103.57
2021-01-19,103.86
2021-01-15,103.8
2021-01-14,103.66
2021-01-13,103.91
2021-01-12,104.09
2021-01-11,104.16
2021-01-08,103.89
2021-01-07,103.84
2021-01-06,103.25
2021-01-05,102.7
2021-01-04,103.19
2020-12-31,103.19
2020-12-30,103.31
2020-12-29,103.5
2020-12-28,103.84
2020-12-23,103.52
2020-12-22,103.62
2020-12-21,103.44
2020-12-18,103.35
2020-12-17,103.13
2020-12-16,103.59
2020-12-15,103.69
2020-12-14,104.06
2020-12-11,103.88
2020-12-10,104.3
2020-12-09,104.28
2020-12-08,104.14
2020-12-07,104.01
2020-12-04,104.16
2020-12-03,103.77
2020-12-02,104.52
2020-12-01,104.4
2020-11-30,104.38
2020-11-25,104.39
2020-11-24,104.61
2020-11-23,104.42
2020-11-20,103.81
2020-11-19,103.85
2020-11-18,103.72
2020-11-17,104.2
2020-11-16,104.54
