date,1. open,2. high,3. low,4. close,5. volume
2021-08-13,1.8811,1.8821,1.8808,1.8816,0.0
2021-08-11,1.8799,1.8816,1.879,1.8815,0.0
2021-08-10,1.8837,1.8864,1.8771,1.8838,0.0
2021-08-09,1.8889,1.8913,1.8838,1.889,0.0
2021-08-08,1.8904,1.8919,1.8841,1.8903,0.0
2021-08-05,1.8811,1.8867,1.881,1.8812,0.0
2021-08-04,1.8814,1.8821,1.8761,1.8813,0.0
2021-08-03,1.8814,1.886,1.8737,1.8814,0.0
2021-08-02,1.8866,1.8872,1.8758,1.8871,0.0
2021-08-01,1.8925,1.8948,1.8836,1.8925,0.0
2021-07-29,1.888,1.8971,1.8861,1.8879,0.0
2021-07-28,1.8848,1.8932,1.8842,1.8848,0.0
2021-07-27,1.8845,1.8921,1.8822,1.8844,0.0
2021-07-26,1.8723,1.8861,1.8718,1.8718,0.0
2021-07-25,1.8671,1.8752,1.8671,1.8668,0.0
2021-07-22,1.8656,1.8686,1.8607,1.866,0.0
2021-07-21,1.8646,1.8683,1.8603,1.8648,0.0
2021-07-20,1.8577,1.8653,1.8573,1.8578,0.0
2021-07-19,1.8628,1.867,1.8563,1.8622,0.0
2021-07-18,1.8626,1.8688,1.8605,1.8628,0.0
2021-07-15,1.8625,1.8648,1.8572,1.8628,0.0
2021-07-14,1.8518,1.8645,1.85,1.852,0.0
2021-07-13,1.8558,1.8617,1.8508,1.8551,0.0
2021-07-12,1.8564,1.8588,1.8483,1.8569,0.0
2021-07-11,1.8555,1.8608,1.853,1.8556,0.0
2021-07-08,1.8549,1.8585,1.8474,1.855,0.0
2021-07-07,1.8438,1.8549,1.8438,1.8436,0.0
2021-07-06,1.842,1.8433,1.8359,1.8416,0.0
2021-07-05,1.8369,1.8422,1.8256,1.837,0.0
2021-07-04,1.8397,1.8407,1.8375,1.8389,0.0
2021-07-01,1.8425,1.8469,1.838,1.8429,0.0
2021-06-30,1.8443,1.847,1.8395,1.844,0.0
2021-06-29,1.842,1.8481,1.8382,1.8419,0.0
2021-06-28,1.8336,1.8423,1.8328,1.8336,0.0
2021-06-27,1.8296,1.8394,1.8291,1.8298,0.0
2021-06-24,1.8355,1.8359,1.8247,1.8354,0.0
2021-06-23,1.8435,1.8453,1.8333,1.8441,0.0
2021-06-22,1.8461,1.8519,1.8402,1.8463,0.0
2021-06-21,1.8482,1.8522,1.8468,1.8479,0.0
2021-06-20,1.8415,1.8492,1.8369,1.8416,0.0
2021-06-17,1.8445,1.8501,1.8398,1.8442,0.0
2021-06-16,1.836,1.8447,1.8315,1.8361,0.0
2021-06-15,1.8321,1.8339,1.8293,1.8319,0.0
2021-06-14,1.8295,1.8347,1.8251,1.8294,0.0
2021-06-13,1.831,1.8335,1.8252,1.8313,0.0
2021-06-10,1.8289,1.8346,1.8223,1.8286,0.0
2021-06-09,1.826,1.8283,1.8194,1.8256,0.0
2021-06-08,1.8285,1.8312,1.8232,1.8286,0.0
2021-06-07,1.8276,1.8286,1.8245,1.8275,0.0
