date,1. open,2. high,3. low,4. close,5. volume
2021-08-13,1.3811,1.3875,1.3789,1.3863,0.0
2021-08-12,1.3812,1.3862,1.3793,1.3812,0.0
2021-08-11,1.3868,1.3878,1.3824,1.3867,0.0
2021-08-10,1.3837,1.3872,1.3805,1.3836,0.0
2021-08-09,1.3848,1.3871,1.3834,1.3849,0.0
2021-08-08,1.3868,1.3894,1.3847,1.3868,0.0
2021-08-05,1.3928,1.3933,1.3863,1.3928,0.0
2021-08-04,1.389,1.3948,1.3876,1.389,0.0
2021-08-03,1.3916,1.3957,1.3901,1.3918,0.0
2021-08-02,1.3891,1.394,1.3886,1.3893,0.0
2021-08-01,1.3897,1.3933,1.3885,1.3896,0.0
2021-07-29,1.3964,1.3984,1.3897,1.3964,0.0
2021-07-28,1.3908,1.3982,1.39,1.3907,0.0
2021-07-27,1.3887,1.3897,1.3846,1.3883,0.0
2021-07-26,1.3826,1.3893,1.3768,1.3829,0.0
2021-07-25,1.3757,1.3833,1.3738,1.3758,0.0
2021-07-22,1.3774,1.3781,1.3721,1.3774,0.0
2021-07-21,1.3713,1.3788,1.3693,1.3714,0.0
2021-07-20,1.3635,1.3695,1.3592,1.3633,0.0
2021-07-19,1.3669,1.3689,1.3574,1.367,0.0
2021-07-18,1.3762,1.3763,1.3666,1.3764,0.0
2021-07-15,1.383,1.3862,1.3774,1.383,0.0
2021-07-14,1.3857,1.3898,1.3814,1.3858,0.0
2021-07-13,1.3804,1.3891,1.3802,1.3806,0.0
2021-07-12,1.389,1.3906,1.3802,1.3887,0.0
2021-07-11,1.3899,1.391,1.384,1.39,0.0
2021-07-08,1.3793,1.3877,1.376,1.3791,0.0
2021-07-07,1.38,1.3803,1.3742,1.3801,0.0
2021-07-06,1.3801,1.3841,1.3757,1.3806,0.0
2021-07-05,1.3853,1.3899,1.379,1.3856,0.0
2021-07-04,1.3829,1.3864,1.3819,1.3831,0.0
2021-07-01,1.376,1.3798,1.3739,1.376,0.0
2021-06-30,1.3828,1.3833,1.3764,1.3829,0.0
2021-06-29,1.3842,1.3872,1.3805,1.3843,0.0
2021-06-28,1.3879,1.3881,1.3816,1.3879,0.0
2021-06-27,1.3897,1.3939,1.3877,1.3895,0.0
2021-06-24,1.3918,1.3937,1.3892,1.3917,0.0
2021-06-23,1.3968,1.3987,1.3892,1.3967,0.0
2021-06-22,1.3949,1.4002,1.3925,1.395,0.0
2021-06-21,1.3923,1.393,1.3863,1.3925,0.0
2021-06-20,1.3817,1.392,1.3787,1.3817,0.0
2021-06-17,1.3939,1.3945,1.3797,1.3939,0.0
2021-06-16,1.3983,1.401,1.3912,1.3991,0.0
2021-06-15,1.4083,1.4132,1.4077,1.4082,0.0
2021-06-14,1.411,1.4128,1.4037,1.411,0.0
2021-06-13,1.412,1.4124,1.4072,1.4119,0.0
2021-06-10,1.4171,1.4186,1.4106,1.417,0.0
2021-06-09,1.4111,1.4171,1.4076,1.4112,0.0
2021-06-08,1.4148,1.4188,1.4116,1.415,0.0
