date,1. open,2. high,3. low,4. close,5. volume
2021-06-14,78.322,78.522,78.147,78.512,0.0
2021-06-11,78.672,78.883,78.058,78.153,0.0
2021-06-10,78.674,78.988,78.498,78.654,0.0
2021-06-09,78.771,78.879,78.549,78.656,0.0
2021-06-08,78.951,79.11,78.654,78.77,0.0
2021-06-07,78.887,79.136,78.775,78.936,0.0
2021-06-04,78.816,79.015,78.633,79.01,0.0
2021-06-03,79.277,79.393,78.557,78.808,0.0
2021-06-02,79.423,79.708,79.178,79.279,0.0
2021-06-01,79.708,79.8,79.273,79.424,0.0
2021-05-31,79.682,79.771,79.413,79.709,0.0
2021-05-28,80.116,80.134,79.435,79.613,0.0
2021-05-27,79.456,80.182,79.297,80.098,0.0
2021-05-26,78.601,79.639,78.539,79.452,0.0
2021-05-25,78.447,78.962,78.406,78.585,0.0
2021-05-24,78.07,78.536,77.95,78.439,0.0
2021-05-21,78.258,78.502,77.951,78.143,0.0
2021-05-20,78.288,78.508,78.093,78.26,0.0
2021-05-19,78.846,78.968,77.903,78.28,0.0
2021-05-18,78.777,79.196,78.707,78.839,0.0
2021-05-17,79.151,79.278,78.433,78.773,0.0
2021-05-14,78.634,79.337,78.537,79.277,0.0
2021-05-13,78.52,78.813,78.197,78.629,0.0
2021-05-12,78.974,79.019,78.346,78.498,0.0
2021-05-11,79.053,79.315,78.673,78.979,0.0
2021-05-10,79.078,79.424,78.955,79.042,0.0
2021-05-07,78.844,79.197,78.575,79.046,0.0
2021-05-06,78.743,79.041,78.538,78.818,0.0
2021-05-05,78.135,78.82,78.057,78.742,0.0
2021-05-04,78.529,78.557,77.682,78.108,0.0
2021-05-03,78.362,78.688,78.26,78.528,0.0
2021-04-30,78.899,79.037,78.148,78.312,0.0
2021-04-29,78.819,79.164,78.626,78.861,0.0
2021-04-28,78.329,78.952,78.221,78.828,0.0
2021-04-27,78.196,78.42,77.96,78.327,0.0
2021-04-26,77.583,78.314,77.523,78.196,0.0
2021-04-23,77.301,77.727,77.167,77.629,0.0
2021-04-22,77.873,77.916,77.165,77.299,0.0
2021-04-21,77.493,78.044,77.334,77.855,0.0
2021-04-20,77.584,78.381,77.399,77.491,0.0
2021-04-19,77.546,77.845,77.379,77.584,0.0
2021-04-16,77.968,78.039,77.572,77.714,0.0
2021-04-15,77.741,78.128,77.676,77.951,0.0
2021-04-14,76.922,77.902,76.695,77.723,0.0
2021-04-13,76.884,76.991,76.637,76.915,0.0
2021-04-12,77.13,77.267,76.78,76.883,0.0
2021-04-09,77.112,77.409,76.682,77.1,0.0
2021-04-08,76.953,77.168,76.793,77.112,0.0
2021-04-07,77.489,77.602,76.833,76.974,0.0
2021-04-06,77.723,77.942,77.129,77.489,0.0
2021-04-05,77.707,77.955,77.605,77.713,0.0
2021-04-02,77.569,77.932,77.508,77.846,0.0
2021-04-01,77.294,77.716,76.882,77.569,0.0
2021-03-31,77.044,77.718,77.013,77.293,0.0
2021-03-30,76.828,77.355,76.808,77.034,0.0
2021-03-29,76.677,77.006,76.309,76.829,0.0
2021-03-26,75.909,76.801,75.861,76.749,0.0
2021-03-25,75.73,76.217,75.701,75.91,0.0
2021-03-24,76.072,76.125,75.605,75.72,0.0
2021-03-23,77.895,77.906,75.884,76.065,0.0
2021-03-22,77.576,78.118,77.52,77.868,0.0
2021-03-19,78.014,78.19,77.805,78.023,0.0
2021-03-18,78.7,79.14,77.896,78.023,0.0
2021-03-17,78.365,79.047,78.115,78.69,0.0
2021-03-16,78.576,78.675,78.175,78.346,0.0
2021-03-15,78.237,78.668,78.186,78.547,0.0
2021-03-12,78.41,78.605,78.006,78.231,0.0
2021-03-11,77.938,78.609,77.469,78.397,0.0
2021-03-10,77.636,78.028,77.562,77.965,0.0
2021-03-09,77.518,78.051,77.336,77.772,0.0
2021-03-08,77.611,77.994,77.119,77.506,0.0
2021-03-05,77.599,77.748,77.108,77.602,0.0
2021-03-04,77.539,78.215,77.35,77.598,0.0
2021-03-03,77.732,78.069,77.479,77.533,0.0
2021-03-02,77.559,77.971,77.041,77.738,0.0
2021-03-01,77.09,77.724,76.973,77.527,0.0
2021-02-26,78.243,78.493,76.957,77.016,0.0
2021-02-25,78.716,79.212,78.138,78.267,0.0
2021-02-24,77.242,78.91,77.066,78.665,0.0
2021-02-23,76.969,77.352,76.767,77.205,0.0
2021-02-22,76.794,77.417,76.792,76.98,0.0
2021-02-19,76.287,77.224,76.109,76.888,0.0
2021-02-18,76.112,76.349,75.959,76.289,0.0
2021-02-17,76.45,76.507,75.784,76.106,0.0
2021-02-16,76.129,76.724,76.04,76.481,0.0
2021-02-15,75.559,76.296,75.558,76.118,0.0
2021-02-12,75.688,75.874,75.387,75.713,0.0
2021-02-11,75.449,75.912,75.332,75.684,0.0
2021-02-10,75.689,75.77,75.354,75.448,0.0
2021-02-09,75.939,76.137,75.515,75.717,0.0
2021-02-08,75.871,76.127,75.678,75.964,0.0
2021-02-05,75.477,75.947,75.298,75.871,0.0
2021-02-04,75.704,75.858,75.365,75.471,0.0
2021-02-03,75.482,75.862,75.389,75.672,0.0
2021-02-02,75.089,75.554,74.972,75.471,0.0
2021-02-01,74.953,75.405,74.901,75.077,0.0
2021-01-29,74.717,75.649,74.674,75.183,0.0
2021-01-28,74.493,74.983,74.099,74.717,0.0
2021-01-27,74.925,75.089,74.424,74.495,0.0
2021-01-26,74.649,75.123,74.348,74.977,0.0
2021-01-25,74.49,74.908,74.399,74.679,0.0
2021-01-22,74.645,74.795,74.337,74.491,0.0
2021-01-21,74.22,74.734,74.198,74.599,0.0
2021-01-20,73.939,74.268,73.866,74.226,0.0
2021-01-19,73.679,74.294,73.655,73.954,0.0
2021-01-18,74.113,74.157,73.624,73.696,0.0
2021-01-15,74.759,74.995,73.872,74.025,0.0
2021-01-14,74.525,75.046,74.498,74.763,0.0
2021-01-13,74.867,75.028,74.466,74.517,0.0
2021-01-12,74.65,75.034,74.562,74.867,0.0
2021-01-11,75.122,75.223,74.583,74.659,0.0
2021-01-08,75.249,75.579,74.914,75.223,0.0
2021-01-07,75.088,75.425,74.959,75.286,0.0
2021-01-06,74.346,75.289,74.268,75.113,0.0
2021-01-05,73.953,74.527,73.875,74.319,0.0
2021-01-04,74.133,74.352,73.777,73.96,0.0
2021-01-01,74.117,74.244,74.117,74.117,0.0
2020-12-31,74.264,74.628,74.101,74.117,0.0
2020-12-30,74.028,74.471,73.913,74.273,0.0
2020-12-29,73.664,74.243,73.524,74.02,0.0
2020-12-28,73.537,73.871,73.506,73.665,0.0
2020-12-25,73.512,73.807,73.459,73.512,0.0
2020-12-24,73.464,73.793,73.186,73.481,0.0
2020-12-23,72.913,73.571,72.821,73.441,0.0
2020-12-22,73.425,73.467,72.786,72.912,0.0
2020-12-21,73.631,73.739,72.702,73.315,0.0
2020-12-18,73.688,73.881,73.518,73.739,0.0
2020-12-17,73.565,73.903,73.44,73.631,0.0
2020-12-16,73.46,73.634,73.189,73.554,0.0
2020-12-15,73.623,73.777,73.307,73.459,0.0
2020-12-14,73.823,73.894,73.611,73.625,0.0
2020-12-11,73.957,74.007,73.497,73.732,0.0
2020-12-10,73.144,73.992,73.01,73.952,0.0
2020-12-09,73.33,73.846,73.094,73.138,0.0
2020-12-08,73.254,73.423,73.08,73.315,0.0
2020-12-07,73.304,73.468,73.049,73.265,0.0
2020-12-04,73.439,73.544,73.135,73.334,0.0
2020-12-03,73.766,73.893,73.364,73.447,0.0
2020-12-02,73.628,74.039,73.509,73.76,0.0
2020-12-01,73.13,73.831,73.085,73.631,0.0
2020-11-30,73.054,73.463,72.938,73.152,0.0
2020-11-27,73.011,73.235,72.863,73.054,0.0
2020-11-26,73.146,73.278,72.888,73.001,0.0
2020-11-25,72.817,73.243,72.573,73.146,0.0
2020-11-24,72.306,73.086,72.072,72.819,0.0
2020-11-23,71.856,72.415,71.625,72.326,0.0
2020-11-20,71.678,72.167,71.656,71.906,0.0
2020-11-19,71.867,71.919,71.501,71.686,0.0
2020-11-18,71.766,72.117,71.527,71.888,0.0
2020-11-17,72.187,72.274,71.578,71.804,0.0
2020-11-16,71.621,72.308,71.547,72.19,0.0
2020-11-13,71.885,72.002,71.455,71.621,0.0
2020-11-12,72.547,72.79,71.811,71.879,0.0
2020-11-11,71.859,72.726,71.608,72.546,0.0
2020-11-10,72.024,72.066,71.539,71.866,0.0
2020-11-09,70.107,72.085,69.993,71.829,0.0
2020-11-06,69.943,70.389,69.873,69.993,0.0
2020-11-05,69.936,70.258,69.678,69.9,0.0
2020-11-04,69.872,70.481,69.422,69.935,0.0
2020-11-03,69.409,70.247,69.292,69.794,0.0
2020-11-02,69.079,69.528,68.804,69.409,0.0
2020-10-30,69.339,69.698,68.846,69.206,0.0
2020-10-29,69.291,69.523,68.955,69.344,0.0
2020-10-28,70.041,70.087,69.128,69.291,0.0
2020-10-27,69.96,70.231,69.892,70.042,0.0
2020-10-26,69.98,70.279,69.761,69.938,0.0
2020-10-23,69.905,70.176,69.68,70.035,0.0
2020-10-22,69.553,70.113,69.382,69.907,0.0
2020-10-21,69.369,69.778,69.278,69.53,0.0
2020-10-20,69.612,69.676,69.226,69.366,0.0
2020-10-19,69.588,70.022,69.537,69.615,0.0
2020-10-16,69.57,69.719,69.288,69.598,0.0
2020-10-15,70.002,70.144,69.188,69.558,0.0
2020-10-14,70.139,70.355,69.897,70.013,0.0
2020-10-13,70.003,70.356,69.781,70.141,0.0
2020-10-12,70.366,70.458,69.9,70.005,0.0
2020-10-09,69.805,70.51,69.773,70.453,0.0
2020-10-08,69.717,69.929,69.39,69.797,0.0
2020-10-07,69.538,69.952,69.442,69.701,0.0
2020-10-06,70.208,70.356,69.462,69.539,0.0
2020-10-05,70.025,70.291,69.928,70.186,0.0
2020-10-02,70.177,70.253,69.527,69.891,0.0
2020-10-01,69.727,70.256,69.716,70.156,0.0
2020-09-30,69.571,69.925,69.308,69.727,0.0
2020-09-29,69.121,69.773,69.101,69.563,0.0
2020-09-28,69.188,69.252,68.872,69.106,0.0
2020-09-25,68.966,69.417,68.936,69.099,0.0
2020-09-24,69.032,69.165,68.61,68.949,0.0
2020-09-23,69.564,69.894,68.882,68.983,0.0
2020-09-22,69.74,69.86,69.446,69.543,0.0
2020-09-21,70.732,70.789,69.538,69.744,0.0
2020-09-18,70.676,71.207,70.487,70.696,0.0
2020-09-17,70.622,70.796,70.021,70.663,0.0
2020-09-16,70.74,71.013,70.473,70.606,0.0
2020-09-15,70.831,71.22,70.62,70.72,0.0
2020-09-14,70.677,71.079,70.659,70.832,0.0
2020-09-11,70.533,71.097,70.492,70.751,0.0
2020-09-10,70.979,71.178,70.432,70.528,0.0
2020-09-09,70.029,71.029,69.849,70.901,0.0
2020-09-08,71.13,71.245,70.0,70.038,0.0
2020-09-07,71.34,71.444,71.063,71.108,0.0
2020-09-04,71.18,71.524,70.869,71.378,0.0
2020-09-03,71.814,71.956,70.98,71.182,0.0
2020-09-02,71.708,71.978,71.542,71.799,0.0
2020-09-01,71.301,71.862,71.232,71.6,0.0
2020-08-31,71.157,71.709,70.902,71.294,0.0
2020-08-28,70.79,71.256,70.488,71.043,0.0
2020-08-27,70.158,70.827,70.127,70.784,0.0
2020-08-26,69.621,70.193,69.576,70.151,0.0
2020-08-25,69.157,69.736,69.043,69.618,0.0
2020-08-24,69.283,69.408,69.033,69.149,0.0
