date,1. open,2. high,3. low,4. close,5. volume
2021-07-26,110.54,110.584,110.09,110.391,0.0
2021-07-25,110.377,110.584,110.377,110.541,0.0
2021-07-22,110.129,110.583,110.115,110.14,0.0
2021-07-21,110.239,110.348,110.024,110.255,0.0
2021-07-20,109.926,110.383,109.807,109.92,0.0
2021-07-19,109.527,109.954,109.334,109.534,0.0
2021-07-18,109.904,110.025,109.086,109.874,0.0
2021-07-15,109.757,110.336,109.733,109.778,0.0
2021-07-14,109.994,110.082,109.716,109.984,0.0
2021-07-13,110.596,110.694,109.985,110.595,0.0
2021-07-12,110.328,110.55,110.202,110.325,0.0
2021-07-11,110.208,110.389,109.982,110.215,0.0
2021-07-08,109.788,110.246,109.767,109.801,0.0
2021-07-07,110.622,110.622,109.535,110.635,0.0
2021-07-06,110.57,110.807,110.402,110.602,0.0
2021-07-05,110.907,110.912,110.526,110.916,0.0
2021-07-04,111.14,111.184,110.798,111.135,0.0
2021-07-01,111.584,111.656,111.155,111.572,0.0
2021-06-30,111.129,111.622,111.026,111.124,0.0
2021-06-29,110.524,111.065,110.429,110.535,0.0
2021-06-28,110.604,110.746,110.442,110.603,0.0
2021-06-27,110.804,110.971,110.507,110.822,0.0
2021-06-24,110.917,110.975,110.482,110.921,0.0
2021-06-23,110.986,111.095,110.71,111.012,0.0
2021-06-22,110.685,111.091,110.685,110.654,0.0
2021-06-21,110.385,110.788,110.221,110.374,0.0
2021-06-20,110.192,110.328,109.736,110.201,0.0
2021-06-17,110.308,110.475,109.947,110.325,0.0
2021-06-16,110.78,110.817,110.211,110.77,0.0
2021-06-15,110.075,110.136,109.812,110.084,0.0
2021-06-14,110.025,110.162,109.99,110.041,0.0
2021-06-13,109.744,109.997,109.611,109.709,0.0
2021-06-10,109.393,109.836,109.324,109.409,0.0
2021-06-09,109.652,109.783,109.43,109.61,0.0
2021-06-08,109.488,109.637,109.234,109.469,0.0
2021-06-07,109.288,109.553,109.205,109.274,0.0
2021-06-06,109.632,109.632,109.185,109.617,0.0
2021-06-03,110.286,110.323,109.371,110.266,0.0
2021-06-02,109.593,110.31,109.583,109.595,0.0
2021-06-01,109.483,109.883,109.483,109.493,0.0
2021-05-31,109.478,109.693,109.333,109.493,0.0
2021-05-30,109.919,109.928,109.366,109.907,0.0
2021-05-27,109.842,110.196,109.794,109.809,0.0
2021-05-26,109.189,109.842,109.041,109.17,0.0
2021-05-25,108.791,109.137,108.724,108.802,0.0
2021-05-24,108.824,109.056,108.579,108.851,0.0
2021-05-23,108.915,108.983,108.698,108.919,0.0
2021-05-20,108.831,108.974,108.609,108.86,0.0
2021-05-19,109.261,109.283,108.753,109.273,0.0
2021-05-18,108.857,109.323,108.584,108.868,0.0
2021-05-17,109.276,109.276,108.844,109.242,0.0
2021-05-16,109.412,109.496,109.07,109.412,0.0
2021-05-13,109.519,109.644,109.23,109.516,0.0
2021-05-12,109.723,109.777,109.476,109.664,0.0
2021-05-11,108.719,109.536,108.664,108.715,0.0
2021-05-10,108.835,108.966,108.379,108.844,0.0
2021-05-09,108.6,109.045,108.588,108.572,0.0
2021-05-06,109.014,109.278,108.347,109.05,0.0
2021-05-05,109.189,109.419,109.046,109.219,0.0
2021-05-04,109.326,109.463,109.152,109.329,0.0
2021-05-03,109.086,109.481,109.047,109.087,0.0
2021-05-02,109.299,109.693,108.906,109.283,0.0
2021-04-29,108.915,109.333,108.713,108.904,0.0
2021-04-28,108.505,109.219,108.438,108.505,0.0
2021-04-27,108.738,109.07,108.713,108.75,0.0
2021-04-26,108.188,108.57,108.101,108.202,0.0
2021-04-25,107.881,108.187,107.652,107.874,0.0
2021-04-22,107.936,108.123,107.47,107.978,0.0
2021-04-21,108.027,108.186,107.824,108.039,0.0
2021-04-20,108.132,108.27,107.892,108.133,0.0
2021-04-19,108.105,108.522,107.98,108.098,0.0
2021-04-18,108.694,108.755,108.007,108.719,0.0
2021-04-15,108.655,108.961,108.625,108.689,0.0
2021-04-14,108.886,108.951,108.625,108.894,0.0
2021-04-13,108.917,109.08,108.765,108.924,0.0
2021-04-12,109.38,109.747,109.043,109.374,0.0
2021-04-11,109.719,109.761,109.247,109.694,0.0
2021-04-08,109.325,109.952,109.222,109.33,0.0
2021-04-07,109.878,109.894,109.001,109.852,0.0
2021-04-06,109.783,109.935,109.592,109.793,0.0
2021-04-05,110.194,110.548,109.689,110.193,0.0
2021-04-04,110.67,110.712,109.957,110.677,0.0
2021-04-01,110.62,110.744,110.382,110.613,0.0
2021-03-31,110.738,110.845,110.563,110.75,0.0
2021-03-30,110.293,110.953,110.278,110.305,0.0
2021-03-29,109.83,110.419,109.788,109.836,0.0
2021-03-28,109.778,109.779,109.384,109.791,0.0
2021-03-25,109.182,109.834,109.139,109.179,0.0
2021-03-24,108.784,109.189,108.784,108.79,0.0
2021-03-23,108.523,108.941,108.455,108.52,0.0
2021-03-22,108.777,108.869,108.415,108.776,0.0
2021-03-21,108.878,108.948,108.621,108.871,0.0
2021-03-18,108.932,109.101,108.612,108.931,0.0
2021-03-17,108.91,109.284,108.693,108.891,0.0
2021-03-16,109.023,109.276,109.014,109.029,0.0
2021-03-15,109.119,109.276,108.783,109.134,0.0
2021-03-14,109.114,109.356,108.931,109.117,0.0
2021-03-11,108.574,109.148,108.519,108.555,0.0
