date,1. open,2. high,3. low,4. close,5. volume
2021-05-18,8.3425,8.3425,8.3425,8.3425,0.0
2021-05-17,8.3321,8.3321,8.3321,8.3321,0.0
2021-05-14,8.4463,8.4463,8.4463,8.4463,0.0
2021-05-13,8.5014,8.5014,8.5014,8.5014,0.0
2021-05-12,8.4307,8.4307,8.4307,8.4307,0.0
2021-05-11,8.3021,8.3021,8.3021,8.3021,0.0
2021-05-10,8.2638,8.2638,8.2638,8.2638,0.0
2021-05-07,8.2328,8.2328,8.2328,8.2328,0.0
2021-05-06,8.2858,8.2858,8.2858,8.2858,0.0
2021-05-05,8.3309,8.3309,8.3309,8.3309,0.0
2021-05-04,8.3031,8.3031,8.3031,8.3031,0.0
2021-04-30,8.2909,8.2909,8.2909,8.2909,0.0
2021-04-29,8.2188,8.2188,8.2188,8.2188,0.0
2021-04-28,8.2273,8.2273,8.2273,8.2273,0.0
2021-04-27,8.2119,8.2119,8.2119,8.2119,0.0
2021-04-26,8.2933,8.2933,8.2933,8.2933,0.0
2021-04-23,8.3716,8.3716,8.3716,8.3716,0.0
2021-04-22,8.292,8.292,8.292,8.292,0.0
2021-04-21,8.1849,8.1849,8.1849,8.1849,0.0
2021-04-20,8.1129,8.1129,8.1129,8.1129,0.0
2021-04-19,8.088,8.088,8.088,8.088,0.0
2021-04-16,8.0533,8.0533,8.0533,8.0533,0.0
2021-04-15,8.068,8.068,8.068,8.068,0.0
2021-04-14,8.1019,8.1019,8.1019,8.1019,0.0
2021-04-13,8.1455,8.1455,8.1455,8.1455,0.0
2021-04-12,8.1456,8.1456,8.1456,8.1456,0.0
2021-04-09,8.1828,8.1828,8.1828,8.1828,0.0
2021-04-08,8.1514,8.1514,8.1514,8.1514,0.0
2021-04-07,8.17,8.17,8.17,8.17,0.0
2021-04-06,8.1535,8.1535,8.1535,8.1535,0.0
2021-04-01,8.122,8.122,8.122,8.122,0.0
2021-03-31,8.2734,8.2734,8.2734,8.2734,0.0
