AUDCAD	豪ドル/カナダドル	3.0pips	1.3pips	888倍	月曜6:05～土曜5:50
AUDCHF	豪ドル/スイスフラン	3.5pips	0.6pips	888倍	月曜6:05～土曜5:50
AUDJPY	豪ドル/円	3.0pips	0.6pips	888倍	月曜6:05～土曜5:50
AUDNZD	豪ドル/NZドル	4.5pips	1.1pips	888倍	月曜6:05～土曜5:50
AUDUSD	豪ドル/米ドル	1.8pips	0.4pips	888倍	月曜6:05～土曜5:50
CADCHF	カナダドル/スイスフラン	3.7pips	1.4pips	444倍	月曜6:05～土曜5:50
CADJPY	カナダドル/円	3.4pips	1.1pips	888倍	月曜6:05～土曜5:50
CHFJPY	スイスフラン/円	3.4pips	1.5pips	444倍	月曜6:05～土曜5:50
CHFSGD	スイスフラン/シンガポールドル	25.0pips	6.5pips	444倍	月曜6:05～土曜5:50
EURAUD	ユーロ/豪ドル	3.8pips	1.0pips	888倍	月曜6:05～土曜5:50
EURCAD	ユーロ/カナダドル	3.5pips	1.5pips	888倍	月曜6:05～土曜5:50
EURCHF	ユーロ/スイスフラン	2.9pips	0.8pips	444倍	月曜6:05～土曜5:50
EURDKK	ユーロ/デンマーククローネ	23.0pips	7.0pips	50倍	月曜6:05～土曜5:50
EURGBP	ユーロ/ポンド	2.0pips	0.8pips	888倍	月曜6:05～土曜5:50
EURHKD	ユーロ/香港ドル	33.0pips	10.0pips	50倍	月曜6:05～土曜5:50
EURHUF	ユーロ/ハンガリーフォリント	30.0pips	18.0pips	888倍	月曜6:05～土曜5:50
EURJPY	ユーロ/円	2.6pips	0.6pips	888倍	月曜6:05～土曜5:50
EURNOK	ユーロ/ノルウェークローネ	69.7pips	25.0pips	888倍	月曜6:05～土曜5:50
EURNZD	ユーロ/NZドル	6.7pips	2.2pips	888倍	月曜6:05～土曜5:50
EURPLN	ユーロ/ポーランドズロチ	29.9pips	47.0pips	888倍	月曜6:05～土曜5:50
EURRUB	ユーロ/ロシアルーブル	420.0pips	280.0pips	50倍	月曜15:05～土曜23:55
EURSEK	ユーロ/スウェーデンクローナ	55.0pips	25.0pips	888倍	月曜6:05～土曜5:50
EURSGD	ユーロ/シンガポールドル	16.3pips	9.0pips	888倍	月曜6:05～土曜5:50
EURTRY	ユーロ/トルコリラ	45.0pips	23.0pips	888倍	月曜6:05～土曜5:50
EURUSD	ユーロ/米ドル	1.6pips	0.1pips	888倍	月曜6:05～土曜5:50
EURZAR	ユーロ/南アフリカランド	130.0pips	106.0pips	888倍	月曜6:05～土曜5:50
GBPAUD	英ポンド/豪ドル	3.9pips	2.0pips	888倍	月曜6:05～土曜5:50
GBPCAD	英ポンド/カナダドル	5.2pips	2.2pips	888倍	月曜6:05～土曜5:50
GBPCHF	英ポンド/スイスフラン	4.0pips	1.6pips	444倍	月曜6:05～土曜5:50
GBPDKK	イギリスポンド/デンマーククローネ	49.0pips	20.0pips	50倍	月曜6:05～土曜5:50
GBPJPY	英ポンド/円	3.5pips	0.9pips	888倍	月曜6:05～土曜5:50
GBPNOK	英ポンド/ノルウェークローネ	80.0pips	61.0pips	888倍	月曜6:05～土曜5:50
GBPNZD	英ポンド/NZドル	8.0pips	4.0pips	888倍	月曜6:05～土曜5:50
GBPSEK	英ポンド/スウェーデンクローナ	90.0pips	47.0pips	888倍	月曜6:05～土曜5:50
GBPSGD	英ポンド/シンガポールドル	20.0pips	13.0pips	888倍	月曜6:05～土曜5:50
GBPUSD	英ポンド/米ドル	2.3pips	0.5pips	888倍	月曜6:05～土曜5:50
NZDCAD	NZドル/カナダドル	4.5pips	1.9pips	888倍	月曜6:05～土曜5:50
NZDCHF	NZドル/スイスフラン	5.0pips	1.8pips	444倍	月曜6:05～土曜5:50
NZDJPY	NZドル/円	5.0pips	1.2pips	888倍	月曜6:05～土曜5:50
NZDSGD	NZドル/シンガポールドル	20.0pips	5.0pips	888倍	月曜6:05～土曜5:50
NZDUSD	NZドル/米ドル	3.0pips	0.8pips	888倍	月曜6:05～土曜5:50
SGDJPY	シンガポールドル/円	20.0pips	5.7pips	888倍	月曜6:05～土曜5:50
USDCAD	米ドル/カナダドル	2.1pips	0.6pips	888倍	月曜6:05～土曜5:50
USDCHF	米ドル/スイスフラン	2.4pips	0.5pips	444倍	月曜6:05～土曜5:50
USDCNH	米ドル/人民元	3.0pips	–	888倍	月曜6:05～土曜5:50
USDDKK	米ドル/デンマーククローネ	30.0pips	7.9pips	50倍	月曜6:05～土曜5:50
USDHKD	米ドル/香港ドル	2.8pips	0.5pips	50倍	月曜6:05～土曜5:50
USDHUF	米ドル/ハンガリーフォリント	25.0pips	14.0pips	888倍	月曜6:05～土曜5:50
USDJPY	米ドル/円	1.6pips	0.1pips	888倍	月曜6:05～土曜5:50
USDMXN	米ドル/メキシコペソ	110.0pips	50.0pips	888倍	月曜6:05～土曜5:50
USDNOK	米ドル/ノルウェークローネ	55.0pips	28.0pips	888倍	月曜6:05～土曜5:50
USDPLN	米ドル/ポーランドズロチ	35.0pips	24.0pips	888倍	月曜6:05～土曜5:50
USDRUB	アメリカドル/ロシアルーブル	420.0pips	290.0pips	50倍	月曜15:05～土曜23:55
